ZIPCode,State,ZIPCodeType,POName,PrimaryRUCA,SecondaryRUCA
13471,NY,ZIP Code Area,Taberg,10,10
13472,NY,ZIP Code Area,Thendara,10,10
13473,NY,ZIP Code Area,Turin,10,10
13475,NY,ZIP Code Area,Van Hornesville,6,6
13476,NY,ZIP Code Area,Vernon,3,3
13477,NY,ZIP Code Area,Vernon Center,3,3
13478,NY,ZIP Code Area,Verona,10,10
13479,NY,Post Office or large volume customer,Washington Mills,1,1
13480,NY,ZIP Code Area,Waterville,3,3
13482,NY,ZIP Code Area,West Burlington,10,10
13483,NY,ZIP Code Area,Westdale,10,10
13484,NY,Post Office or large volume customer,West Eaton,10,10
13485,NY,ZIP Code Area,West Edmeston,3,3
13486,NY,ZIP Code Area,Westernville,5,5
13488,NY,ZIP Code Area,Westford,10,10
13489,NY,ZIP Code Area,West Leyden,10,10
13490,NY,ZIP Code Area,Westmoreland,2,2
13491,NY,ZIP Code Area,West Winfield,2,2
13492,NY,ZIP Code Area,Whitesboro,1,1
13493,NY,ZIP Code Area,Williamstown,2,2
13494,NY,ZIP Code Area,Woodgate,2,2
13495,NY,ZIP Code Area,Yorkville,1,1
13501,NY,ZIP Code Area,Utica,1,1
13502,NY,ZIP Code Area,Utica,1,1
13503,NY,Post Office or large volume customer,Utica,1,1
13504,NY,Post Office or large volume customer,Utica,1,1
13505,NY,Post Office or large volume customer,Utica,1,1
13599,NY,Post Office or large volume customer,Utica,1,1
13601,NY,ZIP Code Area,Watertown,1,1
13602,NY,ZIP Code Area,Fort Drum,1,1
13603,NY,ZIP Code Area,Watertown,1,1
13605,NY,ZIP Code Area,Adams,2,2
13606,NY,ZIP Code Area,Adams Center,2,2
13607,NY,ZIP Code Area,Alexandria Bay,10,10
13608,NY,ZIP Code Area,Antwerp,2,2
13611,NY,ZIP Code Area,Belleville,3,3
13612,NY,ZIP Code Area,Black River,2,2
13613,NY,ZIP Code Area,Brasher Falls,9,9
13614,NY,ZIP Code Area,Brier Hill,10,10
13615,NY,ZIP Code Area,Brownville,2,2
13616,NY,ZIP Code Area,Calcium,2,2
13617,NY,ZIP Code Area,Canton,7,7
13618,NY,ZIP Code Area,Cape Vincent,10,10
13619,NY,ZIP Code Area,Carthage,3,3
13620,NY,ZIP Code Area,Castorland,10,10
13621,NY,ZIP Code Area,Chase Mills,5,5
13622,NY,ZIP Code Area,Chaumont,2,2
13623,NY,Post Office or large volume customer,Chippewa Bay,6,6
13624,NY,ZIP Code Area,Clayton,10,10
13625,NY,ZIP Code Area,Colton,8,8
13626,NY,ZIP Code Area,Copenhagen,10,10
13627,NY,Post Office or large volume customer,Deer River,10,10
13628,NY,ZIP Code Area,Deferiet,3,3
13630,NY,ZIP Code Area,De Kalb Junction,10,10
13631,NY,Post Office or large volume customer,Denmark,3,3
13632,NY,ZIP Code Area,Depauville,2,2
13633,NY,ZIP Code Area,De Peyster,10,10
13634,NY,ZIP Code Area,Dexter,2,2
13635,NY,ZIP Code Area,Edwards,10,10
13636,NY,ZIP Code Area,Ellisburg,3,3
13637,NY,ZIP Code Area,Evans Mills,1,1
13638,NY,ZIP Code Area,Felts Mills,2,2
13639,NY,ZIP Code Area,Fine,10,10
13640,NY,ZIP Code Area,Wellesley Island,10,10
13641,NY,ZIP Code Area,Fishers Landing,7,7
13642,NY,ZIP Code Area,Gouverneur,10,10
13643,NY,Post Office or large volume customer,Great Bend,2,2
13645,NY,Post Office or large volume customer,Hailesboro,10,10
13646,NY,ZIP Code Area,Hammond,6,6
13647,NY,Post Office or large volume customer,Hannawa Falls,8,8
13648,NY,ZIP Code Area,Harrisville,10,10
13649,NY,ZIP Code Area,Helena,9,9
13650,NY,ZIP Code Area,Henderson,10,10
13651,NY,ZIP Code Area,Henderson Harbor,10,10
13652,NY,ZIP Code Area,Hermon,10,10
13654,NY,ZIP Code Area,Heuvelton,5,5
13655,NY,ZIP Code Area,Hogansburg,10,10
13656,NY,ZIP Code Area,La Fargeville,2,2
13657,NY,Post Office or large volume customer,Limerick,2,2
13658,NY,ZIP Code Area,Lisbon,10,10
13659,NY,ZIP Code Area,Lorraine,3,3
13660,NY,ZIP Code Area,Madrid,10,10
13661,NY,ZIP Code Area,Mannsville,3,3
13662,NY,ZIP Code Area,Massena,4,4
13664,NY,ZIP Code Area,Morristown,10,10
13665,NY,ZIP Code Area,Natural Bridge,3,3
13666,NY,ZIP Code Area,Newton Falls,10,10
13667,NY,ZIP Code Area,Norfolk,5,5
13668,NY,ZIP Code Area,Norwood,8,8
13669,NY,ZIP Code Area,Ogdensburg,4,4
13670,NY,ZIP Code Area,Oswegatchie,10,10
13671,NY,Post Office or large volume customer,Antwerp,2,2
13672,NY,ZIP Code Area,Parishville,8,8
13673,NY,ZIP Code Area,Philadelphia,2,2
13674,NY,Post Office or large volume customer,Pierrepont Manor,3,3
13675,NY,ZIP Code Area,Plessis,10,10
13676,NY,ZIP Code Area,Potsdam,7,7
13677,NY,Post Office or large volume customer,Pyrites,7,7
13678,NY,Post Office or large volume customer,Raymondville,5,5
13679,NY,ZIP Code Area,Redwood,10,10
13680,NY,ZIP Code Area,Rensselaer Falls,10,10
13681,NY,ZIP Code Area,Richville,10,10
13682,NY,ZIP Code Area,Rodman,2,2
13683,NY,Post Office or large volume customer,Rooseveltown,8,8
13684,NY,ZIP Code Area,Russell,10,10
13685,NY,ZIP Code Area,Sackets Harbor,2,2
13687,NY,ZIP Code Area,South Colton,8,8
13690,NY,ZIP Code Area,Star Lake,10,10
13691,NY,ZIP Code Area,Theresa,2,2
13692,NY,ZIP Code Area,Thousand Island Park,7,7
13693,NY,ZIP Code Area,Three Mile Bay,2,2
13694,NY,ZIP Code Area,Waddington,10,10
13695,NY,ZIP Code Area,Wanakena,10,10
13696,NY,ZIP Code Area,West Stockholm,9,9
13697,NY,ZIP Code Area,Winthrop,9,9
13699,NY,ZIP Code Area,Potsdam,7,7
13730,NY,ZIP Code Area,Afton,10,10.1
13731,NY,ZIP Code Area,Andes,10,10
13732,NY,ZIP Code Area,Apalachin,1,1
13733,NY,ZIP Code Area,Bainbridge,9,9
13734,NY,ZIP Code Area,Barton,3,3
13736,NY,ZIP Code Area,Berkshire,2,2
13737,NY,Post Office or large volume customer,Bible School Park,1,1
13738,NY,Post Office or large volume customer,Blodgett Mills,5,5
13739,NY,ZIP Code Area,Bloomville,10,10
13740,NY,ZIP Code Area,Bovina Center,10,10
13743,NY,ZIP Code Area,Candor,2,2
13744,NY,ZIP Code Area,Castle Creek,2,2
13745,NY,Post Office or large volume customer,Chenango Bridge,1,1
13746,NY,ZIP Code Area,Chenango Forks,2,2
13747,NY,Post Office or large volume customer,Colliersville,10,10
13748,NY,ZIP Code Area,Conklin,2,2
13749,NY,Post Office or large volume customer,Corbettsville,1,1
13750,NY,ZIP Code Area,Davenport,10,10
13751,NY,ZIP Code Area,Davenport Center,10,10
13752,NY,ZIP Code Area,Delancey,10,10
13753,NY,ZIP Code Area,Delhi,10,10
13754,NY,ZIP Code Area,Deposit,2,2
13755,NY,ZIP Code Area,Downsville,10,10
13756,NY,ZIP Code Area,East Branch,10,10
13757,NY,ZIP Code Area,East Meredith,10,10
13758,NY,Post Office or large volume customer,East Pharsalia,9,9
13760,NY,ZIP Code Area,Endicott,1,1
13761,NY,Post Office or large volume customer,Endicott,1,1
13762,NY,Post Office or large volume customer,Endwell,1,1
13763,NY,Post Office or large volume customer,Endicott,1,1
13774,NY,ZIP Code Area,Fishs Eddy,10,10
13775,NY,ZIP Code Area,Franklin,10,10
13776,NY,ZIP Code Area,Gilbertsville,10,10
13777,NY,ZIP Code Area,Glen Aubrey,2,2
13778,NY,ZIP Code Area,Greene,10,10
13780,NY,ZIP Code Area,Guilford,10,10
13782,NY,ZIP Code Area,Hamden,10,10
13783,NY,ZIP Code Area,Hancock,10,10
13784,NY,ZIP Code Area,Harford,2,2
13786,NY,ZIP Code Area,Harpersfield,10,10
13787,NY,ZIP Code Area,Harpursville,2,2
13788,NY,ZIP Code Area,Hobart,10,10
13790,NY,ZIP Code Area,Johnson City,1,1
13794,NY,Post Office or large volume customer,Killawog,2,2
13795,NY,ZIP Code Area,Kirkwood,1,1
13796,NY,ZIP Code Area,Laurens,6,6
13797,NY,ZIP Code Area,Lisle,2,2
13801,NY,ZIP Code Area,Mc Donough,10,10
13802,NY,ZIP Code Area,Maine,2,2
13803,NY,ZIP Code Area,Marathon,6,6
13804,NY,ZIP Code Area,Masonville,10,10
13806,NY,ZIP Code Area,Meridale,10,10
13807,NY,ZIP Code Area,Milford,10,10
13808,NY,ZIP Code Area,Morris,10,10
13809,NY,ZIP Code Area,Mount Upton,10,10
13810,NY,ZIP Code Area,Mount Vision,10,10
13811,NY,ZIP Code Area,Newark Valley,2,2
13812,NY,ZIP Code Area,Nichols,3,3
13813,NY,ZIP Code Area,Nineveh,2,2
13814,NY,Post Office or large volume customer,North Norwich,8,8
13815,NY,ZIP Code Area,Norwich,7,7
13820,NY,ZIP Code Area,Oneonta,4,4
13825,NY,ZIP Code Area,Otego,5,5
13826,NY,ZIP Code Area,Ouaquaga,2,2
13827,NY,ZIP Code Area,Owego,2,2
13830,NY,ZIP Code Area,Oxford,10,10
13832,NY,ZIP Code Area,Plymouth,10,10
13833,NY,ZIP Code Area,Port Crane,2,2
13834,NY,ZIP Code Area,Portlandville,10,10
13835,NY,ZIP Code Area,Richford,2,2
13838,NY,ZIP Code Area,Sidney,7,7
13839,NY,ZIP Code Area,Sidney Center,10,10
13840,NY,Post Office or large volume customer,Smithboro,3,3
13841,NY,ZIP Code Area,Smithville Flats,10,10
13842,NY,ZIP Code Area,South Kortright,10,10
13843,NY,ZIP Code Area,South New Berlin,10,10
13844,NY,ZIP Code Area,South Plymouth,8,8
13845,NY,Post Office or large volume customer,Tioga Center,3,3
13846,NY,ZIP Code Area,Treadwell,10,10
13847,NY,Post Office or large volume customer,Trout Creek,10,10
13848,NY,Post Office or large volume customer,Tunnel,2,2
13849,NY,ZIP Code Area,Unadilla,10,10
13850,NY,ZIP Code Area,Vestal,1,1
13851,NY,Post Office or large volume customer,Vestal,1,1
13856,NY,ZIP Code Area,Walton,10,10
13859,NY,ZIP Code Area,Wells Bridge,10,10
13860,NY,ZIP Code Area,West Davenport,10,10
13861,NY,ZIP Code Area,West Oneonta,10,10.2
13862,NY,ZIP Code Area,Whitney Point,2,2
13863,NY,ZIP Code Area,Willet,6,6
13864,NY,ZIP Code Area,Willseyville,2,2
13865,NY,ZIP Code Area,Windsor,2,2
13901,NY,ZIP Code Area,Binghamton,1,1
13902,NY,Post Office or large volume customer,Binghamton,1,1
13903,NY,ZIP Code Area,Binghamton,1,1
13904,NY,ZIP Code Area,Binghamton,1,1
13905,NY,ZIP Code Area,Binghamton,1,1
14001,NY,ZIP Code Area,Akron,2,2
14004,NY,ZIP Code Area,Alden,2,2
14005,NY,ZIP Code Area,Alexander,10,10
14006,NY,ZIP Code Area,Angola,2,2
14008,NY,ZIP Code Area,Appleton,3,3
14009,NY,ZIP Code Area,Arcade,10,10
14010,NY,Post Office or large volume customer,Athol Springs,1,1
14011,NY,ZIP Code Area,Attica,10,10
14012,NY,ZIP Code Area,Barker,3,3
14013,NY,ZIP Code Area,Basom,3,3
14020,NY,ZIP Code Area,Batavia,4,4
14021,NY,Post Office or large volume customer,Batavia,4,4
14024,NY,ZIP Code Area,Bliss,10,10
14025,NY,ZIP Code Area,Boston,2,2
14026,NY,ZIP Code Area,Bowmansville,1,1
14027,NY,Post Office or large volume customer,Brant,2,2
14028,NY,ZIP Code Area,Burt,3,3
14029,NY,Post Office or large volume customer,Centerville,10,10
14030,NY,ZIP Code Area,Chaffee,2,2
14031,NY,ZIP Code Area,Clarence,1,1
14032,NY,ZIP Code Area,Clarence Center,1,1
14033,NY,ZIP Code Area,Colden,2,2
14034,NY,ZIP Code Area,Collins,2,2
14035,NY,Post Office or large volume customer,Collins Center,2,2
14036,NY,ZIP Code Area,Corfu,3,3
14037,NY,ZIP Code Area,Cowlesville,2,2
14038,NY,Post Office or large volume customer,Crittenden,2,2
14039,NY,ZIP Code Area,Dale,10,10
14040,NY,ZIP Code Area,Darien Center,10,10
14041,NY,ZIP Code Area,Dayton,3,3
14042,NY,ZIP Code Area,Delevan,10,10
14043,NY,ZIP Code Area,Depew,1,1
14047,NY,ZIP Code Area,Derby,2,2
14048,NY,ZIP Code Area,Dunkirk,4,4
14051,NY,ZIP Code Area,East Amherst,1,1
14052,NY,ZIP Code Area,East Aurora,2,2
14054,NY,ZIP Code Area,East Bethany,10,10
14055,NY,ZIP Code Area,East Concord,2,2
14056,NY,ZIP Code Area,East Pembroke,6,6
14057,NY,ZIP Code Area,Eden,2,2
14058,NY,ZIP Code Area,Elba,5,5
14059,NY,ZIP Code Area,Elma,2,2
14060,NY,ZIP Code Area,Farmersville Station,10,10
14061,NY,Post Office or large volume customer,Farnham,2,2
14062,NY,ZIP Code Area,Forestville,6,6
14063,NY,ZIP Code Area,Fredonia,4,4
14065,NY,ZIP Code Area,Freedom,10,10
14066,NY,ZIP Code Area,Gainesville,10,10
14067,NY,ZIP Code Area,Gasport,2,2
14068,NY,ZIP Code Area,Getzville,1,1
14069,NY,ZIP Code Area,Glenwood,2,2
14070,NY,ZIP Code Area,Gowanda,2,2
14072,NY,ZIP Code Area,Grand Island,1,1
14075,NY,ZIP Code Area,Hamburg,1,1
14080,NY,ZIP Code Area,Holland,2,2
14081,NY,ZIP Code Area,Irving,10,10
14082,NY,ZIP Code Area,Java Center,2,2
14083,NY,ZIP Code Area,Java Village,2,2
14085,NY,ZIP Code Area,Lake View,1,1
14086,NY,ZIP Code Area,Lancaster,1,1
14091,NY,ZIP Code Area,Lawtons,2,2
14092,NY,ZIP Code Area,Lewiston,1,1
14094,NY,ZIP Code Area,Lockport,2,2
14095,NY,Post Office or large volume customer,Lockport,2,2
14098,NY,ZIP Code Area,Lyndonville,10,10
14101,NY,ZIP Code Area,Machias,10,10
14102,NY,ZIP Code Area,Marilla,2,2
14103,NY,ZIP Code Area,Medina,7,7
14105,NY,ZIP Code Area,Middleport,2,2
14107,NY,Post Office or large volume customer,Model City,2,2
14108,NY,ZIP Code Area,Newfane,2,2
14109,NY,ZIP Code Area,Niagara University,1,1
14110,NY,Post Office or large volume customer,North Boston,1,1
14111,NY,ZIP Code Area,North Collins,2,2
14112,NY,Post Office or large volume customer,North Evans,2,2
14113,NY,ZIP Code Area,North Java,2,2
14120,NY,ZIP Code Area,North Tonawanda,1,1
14125,NY,ZIP Code Area,Oakfield,5,5
14126,NY,ZIP Code Area,Olcott,3,3
14127,NY,ZIP Code Area,Orchard Park,1,1
14129,NY,ZIP Code Area,Perrysburg,3,3
