ZIPCode,State,ZIPCodeType,POName,PrimaryRUCA,SecondaryRUCA
00001,AK,ZIP Code Area,N Dillingham,10,10
00002,AK,ZIP Code Area,Yukon Flats Nat Wildlife,10,10
00003,AK,ZIP Code Area,Alaska Peninsula NWR,10,10
00004,AK,ZIP Code Area,W Kenai Peninsula Borough,10,10
00005,AK,ZIP Code Area,N Lake and Peninsula Borough,10,10
00006,AK,ZIP Code Area,Matanuska-Sustina Borough,10,10.1
00007,AK,ZIP Code Area,Southerly North Slope Borough,10,10
00008,AK,ZIP Code Area,Aleutians West,10,10
00009,AK,ZIP Code Area,Lake Clark National Preserve,10,10
00010,AK,ZIP Code Area,Yukon Delta Wilderness,10,10
00011,AK,ZIP Code Area,Kenai Ntl Wildlife Refuge,10,10
00012,CA,ZIP Code Area,Mt Meadows Area,10,10
00013,HI,ZIP Code Area,Leeward Islands,10,10
00014,AZ,ZIP Code Area,West Pima County,10,10
00015,AZ,ZIP Code Area,Coronado Ntl Forest,1,1
00016,CA,ZIP Code Area,Sequoia National Forest,10,10.3
00017,CA,ZIP Code Area,Northeast Fresno County,2,2
00018,CA,ZIP Code Area,Los Padres Ntl Forest,10,10
00019,CA,ZIP Code Area,Lassen Ntl Forest,10,10
00020,CA,ZIP Code Area,Sierra National Forest,10,10
00022,CA,ZIP Code Area,Jackson St Forest,5,5
00026,CA,ZIP Code Area,East Tulare County,10,10
00027,CO,ZIP Code Area,Pike Ntl Forest,10,10.1
00028,CA,ZIP Code Area,Plumas Ntl Forest,10,10
00029,CA,ZIP Code Area,Tahoe National Forest,10,10
00031,CA,ZIP Code Area,Lassen National Forest,10,10
00032,CA,ZIP Code Area,Los Padres Ntl Forest,10,10
00033,CA,ZIP Code Area,Tahoe National Forest,10,10
00034,CA,ZIP Code Area,Klamath National Forest,10,10
00035,CA,ZIP Code Area,Modoc/Shasta/Klamath Forest,10,10
00037,CA,ZIP Code Area,West Tehama County,6,6
00038,CA,ZIP Code Area,East Tehama County,5,5
00039,CA,ZIP Code Area,Southeast Trinity County,10,10
00040,CA,ZIP Code Area,Yosemite Ntl Park,10,10
00041,FL,ZIP Code Area,West Broward County,10,10
00042,FL,ZIP Code Area,Southwest Brevard Cnty,1,1
00043,FL,ZIP Code Area,Everglades,2,2
00044,CA,ZIP Code Area,South Alpine County,10,10
00045,FL,ZIP Code Area,Southeast Marion Cnty,2,2
00047,CA,ZIP Code Area,West Glenn County,10,10
00048,CA,ZIP Code Area,Mendocino Ntl Forest,5,5
00049,CA,ZIP Code Area,Six Rivers National Forest,10,10
00050,CA,ZIP Code Area,Six Rivers Ntl Forest,10,10
00051,CA,ZIP Code Area,Eldorado Ntl Forest,10,10
00052,CA,ZIP Code Area,Eldorado Ntl Forest,10,10
00053,FL,ZIP Code Area,Southwest Palm Beach Co,1,1
00054,CA,ZIP Code Area,Six Rivers Ntl Forest,10,10
00055,CA,ZIP Code Area,Trinity Ntl Forest,10,10
00056,ID,ZIP Code Area,Snake River Birds of Prey,2,2
00057,CA,ZIP Code Area,Channel Islands National Park,10,10
00058,CA,ZIP Code Area,Yosemite Ntl Park,10,10
00059,MN,ZIP Code Area,Voyageurs Natl Park,10,10
00060,MN,ZIP Code Area,Superior National Forest,10,10
00061,CA,ZIP Code Area,Channel Is Air Guard Station,10,10
00063,MT,ZIP Code Area,Benton Lake NWR,2,2
00064,NM,ZIP Code Area,Sandoval County,10,10
00065,CA,ZIP Code Area,Plumas National Park,10,10
00066,NM,ZIP Code Area,White Sands Missile Rnge,10,10
00067,OK,ZIP Code Area,N Central Comanche Cnty,2,2
00068,OR,ZIP Code Area,Siuslaw Ntl Forest,5,5
00069,OR,ZIP Code Area,Willamette Ntl Forest,2,2
00070,OR,ZIP Code Area,Mt Hood National Forest,10,10
00071,UT,ZIP Code Area,Uinta Ntl Forest,2,2
00072,WA,ZIP Code Area,National Forest/Park,2,2
00073,WA,ZIP Code Area,Usdoe Hanford Site,10,10
00074,WA,ZIP Code Area,Yakama Indian Reservation,2,2
00076,WA,ZIP Code Area,Okanogan Natl Park,10,10
00077,OR,ZIP Code Area,Willamette Natl Forest,10,10
00084,NC,ZIP Code Area,Hoffman Forest,1,1
00087,FL,ZIP Code Area,NW Indian River County,10,10
00097,FL,ZIP Code Area,Everglades-Monroe County,10,10
00098,FL,ZIP Code Area,Everglades-S Monroe Cnty,10,10
00100,UT,ZIP Code Area,Wasatch National Forest,1,1
00116,LA,ZIP Code Area,Marsh Island,6,6
00119,LA,ZIP Code Area,Timbalier Islands,4,4.1
00121,LA,ZIP Code Area,Mississippi Delta,2,2
00125,ME,ZIP Code Area,Northwest Aroostook,10,10
00126,ME,ZIP Code Area,North Franklin County,10,10
00127,ME,ZIP Code Area,East Hancock County,10,10
00128,ME,ZIP Code Area,North Oxford County,10,10
00130,ME,ZIP Code Area,North Penobscot County,10,10
00132,ME,ZIP Code Area,North Somerset County,10,10
00133,ME,ZIP Code Area,West Central Somerset Co,10,10
00134,ME,ZIP Code Area,Northern Washington Co,10,10
00135,ME,ZIP Code Area,Northern Piscataquis CNT,10,10
00137,ME,ZIP Code Area,Central Aroostook Cnty,8,8
00138,ME,ZIP Code Area,South Aroostook Cnty,8,8
00139,ME,ZIP Code Area,TWPS D-E-6-Franklin Cnty,10,10
00141,ME,ZIP Code Area,T3 R1 NBPP-Penobscot Co,3,3
00148,ME,ZIP Code Area,NE Aroostook County,10,10
00151,ME,ZIP Code Area,S Central Washington Co,10,10
00152,MD,ZIP Code Area,Assateague Island Ntl SE,3,3
00158,MA,ZIP Code Area,Monomoy Island,1,1
00160,MN,ZIP Code Area,Superior National Forest,10,10
00161,MN,ZIP Code Area,Superior National Forest,10,10
00164,MN,ZIP Code Area,Northwest Beltrami Cnty,10,10
00165,MN,ZIP Code Area,Beltrami Island State Forest,10,10
00166,MN,ZIP Code Area,Red Lake Indian Reservation,10,10
00168,NH,ZIP Code Area,Beans Purchase,7,7
00172,NH,ZIP Code Area,Hadleys Purchase,10,10
00173,NH,ZIP Code Area,Cutts Grant,10,10
00174,NH,ZIP Code Area,Beans Grant,10,10
00176,NH,ZIP Code Area,Sargents Purchase,10,10
00177,NH,ZIP Code Area,Pinkham Grant,7,7
00179,NH,ZIP Code Area,Chandlers Purchase,10,10
00180,NH,ZIP Code Area,Thompson/Meserves Purchase,10,10
00181,NH,ZIP Code Area,Low and Burbanks Grant,10,10
00182,NH,ZIP Code Area,Crawfords Purchase,10,10
00183,NH,ZIP Code Area,Greens Grant,7,7
00184,NH,ZIP Code Area,Martins Location,7,7
00185,NH,ZIP Code Area,Kilkenny,10,10
00188,TX,ZIP Code Area,Padre Island Ntl Seashore,5,5
00195,WA,ZIP Code Area,Long Island,10,10
00197,AZ,ZIP Code Area,B M Goldwater A F Range,2,2
00198,AK,ZIP Code Area,E Mncplty of Anchorage,2,2
00199,AZ,ZIP Code Area,Tonto National Forest,1,1
00501,NY,Post Office or large volume customer,Holtsville,1,1
00544,NY,Post Office or large volume customer,Holtsville,1,1
00601,PR,ZIP Code Area,Adjuntas,10,10
00602,PR,ZIP Code Area,Aguada,1,1
00603,PR,ZIP Code Area,Aguadilla,1,1
00604,PR,Post Office or large volume customer,Aguadilla,1,1
00605,PR,Post Office or large volume customer,Aguadilla,1,1
00606,PR,ZIP Code Area,Maricao,10,10
00610,PR,ZIP Code Area,Anasco,1,1
00611,PR,Post Office or large volume customer,Angeles,10,10
00612,PR,ZIP Code Area,Arecibo,1,1
00613,PR,Post Office or large volume customer,Arecibo,1,1
00614,PR,Post Office or large volume customer,Arecibo,1,1
00616,PR,ZIP Code Area,Bajadero,1,1
00617,PR,ZIP Code Area,Barceloneta,1,1
00622,PR,ZIP Code Area,Boqueron,1,1
00623,PR,ZIP Code Area,Cabo Rojo,1,1
00624,PR,ZIP Code Area,Penuelas,1,1
00627,PR,ZIP Code Area,Camuy,1,1
00631,PR,ZIP Code Area,Castaner,10,10
00637,PR,ZIP Code Area,Sabana Grande,1,1
00638,PR,ZIP Code Area,Ciales,4,4
00641,PR,ZIP Code Area,Utuado,10,10
00646,PR,ZIP Code Area,Dorado,1,1
00647,PR,ZIP Code Area,Ensenada,7,7
00650,PR,ZIP Code Area,Florida,1,1
00652,PR,ZIP Code Area,Garrochales,1,1
00653,PR,ZIP Code Area,Guanica,7,7
00656,PR,ZIP Code Area,Guayanilla,1,1
00659,PR,ZIP Code Area,Hatillo,1,1
00660,PR,ZIP Code Area,Hormigueros,1,1
00662,PR,ZIP Code Area,Isabela,1,1
00664,PR,ZIP Code Area,Jayuya,7,7
00667,PR,ZIP Code Area,Lajas,1,1
00669,PR,ZIP Code Area,Lares,4,4
00670,PR,ZIP Code Area,Las Marias,10,10
00674,PR,ZIP Code Area,Manati,1,1
00676,PR,ZIP Code Area,Moca,1,1
00677,PR,ZIP Code Area,Rincon,1,1
00678,PR,ZIP Code Area,Quebradillas,1,1
00680,PR,ZIP Code Area,Mayaguez,1,1
00681,PR,Post Office or large volume customer,Mayaguez,1,1
00682,PR,ZIP Code Area,Mayaguez,1,1
00683,PR,ZIP Code Area,San German,1,1
00685,PR,ZIP Code Area,San Sebastian,1,1
00687,PR,ZIP Code Area,Morovis,1,1
00688,PR,Post Office or large volume customer,Sabana Hoyos,10,10
00690,PR,ZIP Code Area,San Antonio,1,1
00692,PR,ZIP Code Area,Vega Alta,1,1
00693,PR,ZIP Code Area,Vega Baja,1,1
00694,PR,Post Office or large volume customer,Vega Baja,1,1
00698,PR,ZIP Code Area,Yauco,1,1
00703,PR,ZIP Code Area,Aguas Buenas,1,1
00704,PR,ZIP Code Area,Aguirre,4,4
00705,PR,ZIP Code Area,Aibonito,4,4
00707,PR,ZIP Code Area,Maunabo,1,1
00714,PR,ZIP Code Area,Arroyo,1,1
00715,PR,ZIP Code Area,Mercedita,10,10
00716,PR,ZIP Code Area,Ponce,1,1
00717,PR,ZIP Code Area,Ponce,1,1
00718,PR,ZIP Code Area,Naguabo,1,1
00719,PR,ZIP Code Area,Naranjito,1,1
00720,PR,ZIP Code Area,Orocovis,1,1
00721,PR,Post Office or large volume customer,Palmer,1,1
00723,PR,ZIP Code Area,Patillas,1,1
00725,PR,ZIP Code Area,Caguas,1,1
00726,PR,Post Office or large volume customer,Caguas,1,1
00727,PR,ZIP Code Area,Caguas,1,1
00728,PR,ZIP Code Area,Ponce,1,1
00729,PR,ZIP Code Area,Canovanas,1,1
00730,PR,ZIP Code Area,Ponce,1,1
00731,PR,ZIP Code Area,Ponce,1,1
00732,PR,Post Office or large volume customer,Ponce,1,1
00733,PR,Post Office or large volume customer,Ponce,1,1
00734,PR,Post Office or large volume customer,Ponce,1,1
00735,PR,ZIP Code Area,Ceiba,1,1
00736,PR,ZIP Code Area,Cayey,1,1
00737,PR,Post Office or large volume customer,Cayey,1,1
00738,PR,ZIP Code Area,Fajardo,1,1
00739,PR,ZIP Code Area,Cidra,1,1
00740,PR,ZIP Code Area,Puerto Real,1,1
00741,PR,ZIP Code Area,Punta Santiago,1,1
00742,PR,Post Office or large volume customer,Roosevelt Roads,1,1
00744,PR,Post Office or large volume customer,Rio Blanco,1,1
00745,PR,ZIP Code Area,Rio Grande,1,1
00751,PR,ZIP Code Area,Salinas,4,4
00754,PR,ZIP Code Area,San Lorenzo,1,1
00757,PR,ZIP Code Area,Santa Isabel,4,4
00765,PR,ZIP Code Area,Vieques,7,7
00766,PR,ZIP Code Area,Villalba,1,1
00767,PR,ZIP Code Area,Yabucoa,1,1
00769,PR,ZIP Code Area,Coamo,4,4
00771,PR,ZIP Code Area,Las Piedras,1,1
00772,PR,ZIP Code Area,Loiza,4,4
00773,PR,ZIP Code Area,Luquillo,1,1
00775,PR,ZIP Code Area,Culebra,10,10
00777,PR,ZIP Code Area,Juncos,1,1
00778,PR,ZIP Code Area,Gurabo,1,1
00780,PR,ZIP Code Area,Coto Laurel,1,1
00782,PR,ZIP Code Area,Comerio,1,1
00783,PR,ZIP Code Area,Corozal,1,1
00784,PR,ZIP Code Area,Guayama,1,1
00785,PR,Post Office or large volume customer,Guayama,1,1
00786,PR,Post Office or large volume customer,La Plata,4,4
00791,PR,ZIP Code Area,Humacao,1,1
00792,PR,Post Office or large volume customer,Humacao,1,1
00794,PR,ZIP Code Area,Barranquitas,1,1
00795,PR,ZIP Code Area,Juana Diaz,1,1
00801,VI,Post Office or large volume customer,St Thomas,4,4
00802,VI,ZIP Code Area,St Thomas,4,4
00803,VI,Post Office or large volume customer,St Thomas,4,4
00804,VI,Post Office or large volume customer,St Thomas,4,4
00805,VI,Post Office or large volume customer,St Thomas,4,4
00820,VI,ZIP Code Area,Christiansted,4,4
00821,VI,Post Office or large volume customer,Christiansted,4,4
00822,VI,Post Office or large volume customer,Christiansted,4,4
00823,VI,Post Office or large volume customer,Christiansted,4,4
00824,VI,Post Office or large volume customer,Christiansted,4,4
00830,VI,ZIP Code Area,St John,7,7
00831,VI,Post Office or large volume customer,St John,7,7
00840,VI,ZIP Code Area,Frederiksted,4,4
00841,VI,Post Office or large volume customer,Frederiksted,4,4
00850,VI,ZIP Code Area,Kingshill,4,4
00851,VI,Post Office or large volume customer,Kingshill,4,4
00901,PR,ZIP Code Area,San Juan,1,1
00902,PR,Post Office or large volume customer,San Juan,1,1
00906,PR,Post Office or large volume customer,San Juan,1,1
00907,PR,ZIP Code Area,San Juan,1,1
00908,PR,Post Office or large volume customer,San Juan,1,1
00909,PR,ZIP Code Area,San Juan,1,1
00910,PR,Post Office or large volume customer,San Juan,1,1
00911,PR,ZIP Code Area,San Juan,1,1
00912,PR,ZIP Code Area,San Juan,1,1
00913,PR,ZIP Code Area,San Juan,1,1
00914,PR,Post Office or large volume customer,San Juan,1,1
00915,PR,ZIP Code Area,San Juan,1,1
00916,PR,Post Office or large volume customer,San Juan,1,1
00917,PR,ZIP Code Area,San Juan,1,1
00918,PR,ZIP Code Area,San Juan,1,1
00919,PR,Post Office or large volume customer,San Juan,1,1
00920,PR,ZIP Code Area,San Juan,1,1
00921,PR,ZIP Code Area,San Juan,1,1
00922,PR,Post Office or large volume customer,San Juan,1,1
00923,PR,ZIP Code Area,San Juan,1,1
00924,PR,ZIP Code Area,San Juan,1,1
00925,PR,ZIP Code Area,San Juan,1,1
00926,PR,ZIP Code Area,San Juan,1,1
00927,PR,ZIP Code Area,San Juan,1,1
00928,PR,Post Office or large volume customer,San Juan,1,1
00929,PR,Post Office or large volume customer,San Juan,1,1
00931,PR,Post Office or large volume customer,San Juan,1,1
00933,PR,Post Office or large volume customer,San Juan,1,1
00934,PR,ZIP Code Area,Fort Buchanan,1,1
00935,PR,Post Office or large volume customer,San Juan,1,1
00936,PR,Post Office or large volume customer,San Juan,1,1
00937,PR,Post Office or large volume customer,San Juan,1,1
00939,PR,Post Office or large volume customer,San Juan,1,1
00940,PR,Post Office or large volume customer,San Juan,1,1
00949,PR,ZIP Code Area,Toa Baja,1,1
00950,PR,Post Office or large volume customer,Toa Baja,1,1
00951,PR,Post Office or large volume customer,Toa Baja,1,1
00952,PR,ZIP Code Area,Sabana Seca,1,1
00953,PR,ZIP Code Area,Toa Alta,1,1
00954,PR,Post Office or large volume customer,Toa Alta,1,1
00955,PR,Post Office or large volume customer,San Juan,1,1
00956,PR,ZIP Code Area,Bayamon,1,1
00957,PR,ZIP Code Area,Bayamon,1,1
00958,PR,Post Office or large volume customer,Bayamon,1,1
00959,PR,ZIP Code Area,Bayamon,1,1
00960,PR,Post Office or large volume customer,Bayamon,1,1
00961,PR,ZIP Code Area,Bayamon,1,1
00962,PR,ZIP Code Area,Catano,1,1
00963,PR,Post Office or large volume customer,Catano,1,1
00965,PR,ZIP Code Area,Guaynabo,1,1
00966,PR,ZIP Code Area,Guaynabo,1,1
00968,PR,ZIP Code Area,Guaynabo,1,1
00969,PR,ZIP Code Area,Guaynabo,1,1
00970,PR,Post Office or large volume customer,Guaynabo,1,1
00971,PR,ZIP Code Area,Guaynabo,1,1
00975,PR,Post Office or large volume customer,San Juan,1,1
00976,PR,ZIP Code Area,Trujillo Alto,1,1
00977,PR,Post Office or large volume customer,Trujillo Alto,1,1
00978,PR,Post Office or large volume customer,Saint Just,1,1
00979,PR,ZIP Code Area,Carolina,1,1
00981,PR,Post Office or large volume customer,Carolina,1,1
00982,PR,ZIP Code Area,Carolina,1,1
00983,PR,ZIP Code Area,Carolina,1,1
00984,PR,Post Office or large volume customer,Carolina,1,1
00985,PR,ZIP Code Area,Carolina,1,1
00986,PR,Post Office or large volume customer,Carolina,1,1
00987,PR,ZIP Code Area,Carolina,1,1
00988,PR,Post Office or large volume customer,Carolina,1,1
01001,MA,ZIP Code Area,Agawam,1,1
01002,MA,ZIP Code Area,Amherst,1,1
01003,MA,ZIP Code Area,Amherst,1,1
01004,MA,Post Office or large volume customer,Amherst,1,1
01005,MA,ZIP Code Area,Barre,2,2
01007,MA,ZIP Code Area,Belchertown,2,2
01008,MA,ZIP Code Area,Blandford,2,2
01009,MA,ZIP Code Area,Bondsville,2,2
01010,MA,ZIP Code Area,Brimfield,10,10
01011,MA,ZIP Code Area,Chester,2,2
01012,MA,ZIP Code Area,Chesterfield,2,2
01013,MA,ZIP Code Area,Chicopee,1,1
01014,MA,Post Office or large volume customer,Chicopee,1,1
01020,MA,ZIP Code Area,Chicopee,1,1
01021,MA,Post Office or large volume customer,Chicopee,1,1
01022,MA,ZIP Code Area,Chicopee,1,1
01026,MA,ZIP Code Area,Cummington,10,10
01027,MA,ZIP Code Area,Easthampton,1,1
01028,MA,ZIP Code Area,East Longmeadow,1,1
01029,MA,ZIP Code Area,East Otis,10,10
01030,MA,ZIP Code Area,Feeding Hills,1,1
01031,MA,ZIP Code Area,Gilbertville,3,3
01032,MA,ZIP Code Area,Goshen,2,2
01033,MA,ZIP Code Area,Granby,2,2
01034,MA,ZIP Code Area,Granville,2,2
01035,MA,ZIP Code Area,Hadley,2,2
01036,MA,ZIP Code Area,Hampden,2,2
01037,MA,ZIP Code Area,Hardwick,3,3
01038,MA,ZIP Code Area,Hatfield,1,1
01039,MA,ZIP Code Area,Haydenville,2,2
01040,MA,ZIP Code Area,Holyoke,1,1
01041,MA,Post Office or large volume customer,Holyoke,1,1
01050,MA,ZIP Code Area,Huntington,2,2
01053,MA,ZIP Code Area,Leeds,1,1
01054,MA,ZIP Code Area,Leverett,10,10
01056,MA,ZIP Code Area,Ludlow,1,1
01057,MA,ZIP Code Area,Monson,2,2
01059,MA,Post Office or large volume customer,North Amherst,1,1
01060,MA,ZIP Code Area,Northampton,1,1
01061,MA,Post Office or large volume customer,Northampton,1,1
01062,MA,ZIP Code Area,Florence,1,1
01063,MA,ZIP Code Area,Northampton,1,1
01066,MA,ZIP Code Area,North Hatfield,1,1
01068,MA,ZIP Code Area,Oakham,2,2
01069,MA,ZIP Code Area,Palmer,1,1
01070,MA,ZIP Code Area,Plainfield,10,10
01071,MA,ZIP Code Area,Russell,2,2
01072,MA,ZIP Code Area,Shutesbury,10,10
01073,MA,ZIP Code Area,Southampton,2,2
01074,MA,ZIP Code Area,South Barre,2,2
01075,MA,ZIP Code Area,South Hadley,1,1
01077,MA,ZIP Code Area,Southwick,1,1
01079,MA,ZIP Code Area,Thorndike,2,2
01080,MA,ZIP Code Area,Three Rivers,1,1
01081,MA,ZIP Code Area,Wales,3,3
01082,MA,ZIP Code Area,Ware,2,2
01083,MA,ZIP Code Area,Warren,3,3
01084,MA,ZIP Code Area,West Chesterfield,2,2
01085,MA,ZIP Code Area,Westfield,1,1
01086,MA,Post Office or large volume customer,Westfield,1,1
01088,MA,ZIP Code Area,West Hatfield,1,1
01089,MA,ZIP Code Area,West Springfield,1,1
01090,MA,Post Office or large volume customer,West Springfield,1,1
01092,MA,ZIP Code Area,West Warren,3,3
01093,MA,Post Office or large volume customer,Whately,2,2
01094,MA,Post Office or large volume customer,Wheelwright,3,3
01095,MA,ZIP Code Area,Wilbraham,1,1
01096,MA,ZIP Code Area,Williamsburg,2,2
01097,MA,Post Office or large volume customer,Woronoco,2,2
01098,MA,ZIP Code Area,Worthington,10,10
01101,MA,Post Office or large volume customer,Springfield,1,1
01102,MA,Post Office or large volume customer,Springfield,1,1
01103,MA,ZIP Code Area,Springfield,1,1
01104,MA,ZIP Code Area,Springfield,1,1
01105,MA,ZIP Code Area,Springfield,1,1
01106,MA,ZIP Code Area,Longmeadow,1,1
01107,MA,ZIP Code Area,Springfield,1,1
01108,MA,ZIP Code Area,Springfield,1,1
01109,MA,ZIP Code Area,Springfield,1,1
01111,MA,Post Office or large volume customer,Springfield,1,1
01115,MA,Post Office or large volume customer,Springfield,1,1
01116,MA,Post Office or large volume customer,Longmeadow,1,1
01118,MA,ZIP Code Area,Springfield,1,1
01119,MA,ZIP Code Area,Springfield,1,1
01128,MA,ZIP Code Area,Springfield,1,1
01129,MA,ZIP Code Area,Springfield,1,1
01138,MA,Post Office or large volume customer,Springfield,1,1
01139,MA,Post Office or large volume customer,Springfield,1,1
01144,MA,Post Office or large volume customer,Springfield,1,1
01151,MA,ZIP Code Area,Indian Orchard,1,1
01152,MA,Post Office or large volume customer,Springfield,1,1
01199,MA,Post Office or large volume customer,Springfield,1,1
01201,MA,ZIP Code Area,Pittsfield,1,1
01202,MA,Post Office or large volume customer,Pittsfield,1,1
01203,MA,Post Office or large volume customer,Pittsfield,1,1
01220,MA,ZIP Code Area,Adams,4,4
01222,MA,ZIP Code Area,Ashley Falls,10,10
01223,MA,ZIP Code Area,Becket,3,3
01224,MA,ZIP Code Area,Berkshire,2,2
01225,MA,ZIP Code Area,Cheshire,2,2
01226,MA,ZIP Code Area,Dalton,1,1
01227,MA,Post Office or large volume customer,Dalton,1,1
01229,MA,Post Office or large volume customer,Glendale,10,10
01230,MA,ZIP Code Area,Great Barrington,10,10
01235,MA,ZIP Code Area,Hinsdale,2,2
01236,MA,ZIP Code Area,Housatonic,10,10
01237,MA,ZIP Code Area,Lanesborough,2,2
01238,MA,ZIP Code Area,Lee,7,7.1
01240,MA,ZIP Code Area,Lenox,7,7.1
01242,MA,ZIP Code Area,Lenox Dale,7,7.1
01243,MA,ZIP Code Area,Middlefield,10,10
01244,MA,ZIP Code Area,Mill River,10,10
01245,MA,ZIP Code Area,Monterey,10,10
01247,MA,ZIP Code Area,North Adams,4,4
01252,MA,Post Office or large volume customer,North Egremont,10,10
01253,MA,ZIP Code Area,Otis,10,10
01254,MA,ZIP Code Area,Richmond,2,2
01255,MA,ZIP Code Area,Sandisfield,10,10
01256,MA,ZIP Code Area,Savoy,5,5
01257,MA,ZIP Code Area,Sheffield,10,10
01258,MA,ZIP Code Area,South Egremont,10,10
01259,MA,ZIP Code Area,Southfield,10,10
01260,MA,ZIP Code Area,South Lee,7,7.1
01262,MA,ZIP Code Area,Stockbridge,10,10
01263,MA,Post Office or large volume customer,Stockbridge,10,10
01264,MA,ZIP Code Area,Tyringham,10,10
01266,MA,ZIP Code Area,West Stockbridge,10,10
01267,MA,ZIP Code Area,Williamstown,4,4
01270,MA,ZIP Code Area,Windsor,2,2
01301,MA,ZIP Code Area,Greenfield,4,4
01302,MA,Post Office or large volume customer,Greenfield,4,4
01330,MA,ZIP Code Area,Ashfield,10,10
01331,MA,ZIP Code Area,Athol,4,4
01337,MA,ZIP Code Area,Bernardston,10,10
01338,MA,ZIP Code Area,Buckland,10,10
01339,MA,ZIP Code Area,Charlemont,10,10
01340,MA,ZIP Code Area,Colrain,10,10
01341,MA,ZIP Code Area,Conway,10,10
01342,MA,ZIP Code Area,Deerfield,7,7
01343,MA,ZIP Code Area,Drury,5,5
01344,MA,ZIP Code Area,Erving,6,6
01346,MA,ZIP Code Area,Heath,10,10
01347,MA,ZIP Code Area,Lake Pleasant,6,6
01349,MA,ZIP Code Area,Millers Falls,6,6
01350,MA,ZIP Code Area,Monroe Bridge,10,10
01351,MA,ZIP Code Area,Montague,6,6
01354,MA,ZIP Code Area,Gill,10,10
01355,MA,ZIP Code Area,New Salem,10,10
01360,MA,ZIP Code Area,Northfield,6,6
01364,MA,ZIP Code Area,Orange,4,4
01366,MA,ZIP Code Area,Petersham,3,3
01367,MA,ZIP Code Area,Rowe,10,10
01368,MA,ZIP Code Area,Royalston,3,3
01370,MA,ZIP Code Area,Shelburne Falls,10,10
01373,MA,ZIP Code Area,South Deerfield,7,7
01375,MA,ZIP Code Area,Sunderland,2,2
01376,MA,ZIP Code Area,Turners Falls,4,4
01378,MA,ZIP Code Area,Warwick,6,6
01379,MA,ZIP Code Area,Wendell,6,6
01380,MA,ZIP Code Area,Wendell Depot,6,6
01420,MA,ZIP Code Area,Fitchburg,1,1
01430,MA,ZIP Code Area,Ashburnham,3,3
01431,MA,ZIP Code Area,Ashby,3,3
01432,MA,ZIP Code Area,Ayer,1,1
01434,MA,ZIP Code Area,Devens,1,1
01436,MA,ZIP Code Area,Baldwinville,2,2
01438,MA,Post Office or large volume customer,East Templeton,3,3
01440,MA,ZIP Code Area,Gardner,1,1
01441,MA,Post Office or large volume customer,Westminster,10,10
01450,MA,ZIP Code Area,Groton,1,1
01451,MA,ZIP Code Area,Harvard,10,10.1
01452,MA,ZIP Code Area,Hubbardston,3,3
01453,MA,ZIP Code Area,Leominster,1,1
01460,MA,ZIP Code Area,Littleton,1,1
01462,MA,ZIP Code Area,Lunenburg,1,1
01463,MA,ZIP Code Area,Pepperell,2,2
01464,MA,ZIP Code Area,Shirley,1,1
01467,MA,Post Office or large volume customer,Still River,10,10.1
01468,MA,ZIP Code Area,Templeton,3,3
01469,MA,ZIP Code Area,Townsend,2,2
01472,MA,Post Office or large volume customer,West Groton,2,2
01473,MA,ZIP Code Area,Westminster,10,10
01474,MA,ZIP Code Area,West Townsend,2,2
01475,MA,ZIP Code Area,Winchendon,3,3
01501,MA,ZIP Code Area,Auburn,1,1
01503,MA,ZIP Code Area,Berlin,2,2
01504,MA,ZIP Code Area,Blackstone,1,1
01505,MA,ZIP Code Area,Boylston,1,1
01506,MA,ZIP Code Area,Brookfield,2,2
01507,MA,ZIP Code Area,Charlton,2,2
01508,MA,Post Office or large volume customer,Charlton City,2,2
01509,MA,Post Office or large volume customer,Charlton Depot,2,2
01510,MA,ZIP Code Area,Clinton,1,1
01515,MA,ZIP Code Area,East Brookfield,2,2
01516,MA,ZIP Code Area,Douglas,1,1
01518,MA,ZIP Code Area,Fiskdale,4,4
01519,MA,ZIP Code Area,Grafton,1,1
01520,MA,ZIP Code Area,Holden,1,1
01521,MA,ZIP Code Area,Holland,3,3
01522,MA,ZIP Code Area,Jefferson,1,1
01523,MA,ZIP Code Area,Lancaster,1,1
01524,MA,ZIP Code Area,Leicester,1,1
01525,MA,Post Office or large volume customer,Linwood,1,1
01526,MA,Post Office or large volume customer,Manchaug,1,1
01527,MA,ZIP Code Area,Millbury,1,1
01529,MA,ZIP Code Area,Millville,1,1
01531,MA,ZIP Code Area,New Braintree,3,3
01532,MA,ZIP Code Area,Northborough,1,1
01534,MA,ZIP Code Area,Northbridge,1,1
01535,MA,ZIP Code Area,North Brookfield,2,2
01536,MA,ZIP Code Area,North Grafton,1,1
01537,MA,ZIP Code Area,North Oxford,1,1
01538,MA,Post Office or large volume customer,North Uxbridge,1,1
01540,MA,ZIP Code Area,Oxford,1,1
01541,MA,ZIP Code Area,Princeton,2,2
01542,MA,ZIP Code Area,Rochdale,1,1
01543,MA,ZIP Code Area,Rutland,2,2
01545,MA,ZIP Code Area,Shrewsbury,1,1
01546,MA,Post Office or large volume customer,Shrewsbury,1,1
01550,MA,ZIP Code Area,Southbridge,4,4
01560,MA,ZIP Code Area,South Grafton,1,1
01561,MA,Post Office or large volume customer,South Lancaster,1,1
01562,MA,ZIP Code Area,Spencer,2,2
01564,MA,ZIP Code Area,Sterling,2,2
